
2025/04/06 (16:00:02) | ===> btop++ v.1.4.0
2025/04/06 (16:00:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (19:14:40) | ===> btop++ v.1.4.0
2025/04/06 (19:14:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (22:05:24) | ===> btop++ v.1.4.0
2025/04/06 (22:05:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (22:37:42) | ===> btop++ v.1.4.0
2025/04/06 (22:37:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/09 (16:56:58) | ===> btop++ v.1.4.0
2025/04/09 (16:56:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/09 (20:37:55) | ===> btop++ v.1.4.0
2025/04/09 (20:37:55) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/09 (20:38:10) | WARNING: Failed to join _runner thread on exit!

2025/04/11 (21:28:10) | ===> btop++ v.1.4.0
2025/04/11 (21:28:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (10:15:42) | ===> btop++ v.1.4.0
2025/04/12 (10:15:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (14:28:30) | ===> btop++ v.1.4.0
2025/04/12 (14:28:30) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/12 (14:28:32) | WARNING: Failed to join _runner thread on exit!

2025/04/13 (21:42:06) | ===> btop++ v.1.4.0
2025/04/13 (21:42:06) | WARNING: Intel GPU: Failed to initialize PMU
